mesh,audio,strategy,beta0,beta1,chi,A_ratio,S
octahedron,A7,direct,77,45,32,0.026885986328124643,0.33462261376299557
octahedron,A7,mel,66,15,51,0.026275634765624657,0.3339999790986566
octahedron,A7,energy,77,14,63,0.026000976562499663,0.33333378418742415
icosahedron,A1,direct,70,0,70,0.027929687500000317,0.3333333334472313
icosahedron,A1,mel,66,0,66,0.02714843750000031,0.3333333376011925
icosahedron,A1,energy,64,0,64,0.02812500000000032,0.3333333333333333
icosahedron,A2,direct,46,0,46,0.022851562500000176,0.33333333335510734
icosahedron,A2,mel,57,0,57,0.022949218750000215,0.3333333340380708
icosahedron,A2,energy,64,0,64,0.027734375000000318,0.3333333333333333
icosahedron,A3,direct,73,3,70,0.03784179687500061,0.774824096492832
icosahedron,A3,mel,97,5,92,0.039892578125000674,0.6183105705080733
icosahedron,A3,energy,85,28,57,0.043603515625000755,0.7209526895122949
icosahedron,A4,direct,140,0,140,0.04902343750000089,0.6024485529302845
icosahedron,A4,mel,129,0,129,0.04892578125000091,0.3742814167876009
icosahedron,A4,energy,121,2,119,0.048828125000000895,0.39473756750409844
icosahedron,A5,direct,124,0,124,0.04531250000000081,0.5049896308577394
icosahedron,A5,mel,137,2,135,0.05371093750000102,0.5143441196018573
icosahedron,A5,energy,141,11,130,0.0554199218750011,0.5271728131772285
icosahedron,A6,direct,66,0,66,0.026953125000000296,0.395134522078646
icosahedron,A6,mel,63,5,58,0.028759765625000343,0.3907818949662647
icosahedron,A6,energy,58,0,58,0.024755859375000255,0.33852296356870926
icosahedron,A7,direct,55,0,55,0.024902343750000226,0.33345365453128967
icosahedron,A7,mel,51,0,51,0.02529296875000026,0.3337334237691285
icosahedron,A7,energy,47,0,47,0.024511718750000216,0.3333335978328793
ellipsoid,A1,direct,18,0,18,0.012795162744244894,0.3333333338965077
ellipsoid,A1,mel,64,0,64,0.0346200197048882,0.33333335190340874
ellipsoid,A1,energy,64,0,64,0.0346200197048882,0.3333333333333335
ellipsoid,A2,direct,64,0,64,0.03702012763976367,0.3333333334560626
ellipsoid,A2,mel,55,0,55,0.027653104824948913,0.3333333369381051
ellipsoid,A2,energy,56,0,56,0.02562606472771292,0.3333333333333333
ellipsoid,A3,direct,69,40,29,0.04465626649265164,0.4883134396141749
ellipsoid,A3,mel,80,7,73,0.04411229268082657,0.38082254538440957
ellipsoid,A3,energy,71,2,69,0.04273032848149018,0.3392929102290838
ellipsoid,A4,direct,122,29,93,0.06266475718396237,0.4592006245898086
